Date,Price,High,Low,Close**,Volume,Market Cap
1-5-2015,235.94,238.97,232.08,232.08,"18,815,300","3,329,189,888"
2-5-2015,232.34,235.73,232.34,234.93,"12,535,500","3,279,269,888"
3-5-2015,234.88,243.24,234.08,240.36,"18,494,100","3,315,980,032"
4-5-2015,240.36,242.64,237.81,239.02,"21,223,400","3,394,129,920"
5-5-2015,238.85,239.2,232.05,236.12,"23,929,100","3,373,649,920"
6-5-2015,236.25,236.45,229.23,229.78,"29,587,200","3,337,789,952"
7-5-2015,229.66,239.1,228.57,237.33,"29,064,400","3,245,659,904"
8-5-2015,237.2,246.27,236.27,243.86,"27,445,500","3,353,090,048"
9-5-2015,243.77,247.8,239.64,241.83,"19,790,500","3,446,789,888"
10-5-2015,241.73,244.07,238.85,240.3,"15,019,100","3,418,739,968"
11-5-2015,240.3,244.27,239.38,242.16,"20,892,300","3,399,290,112"
12-5-2015,242.15,242.88,240.1,241.11,"19,282,600","3,426,350,080"
13-5-2015,241.4,243.7,235.04,236.38,"27,180,100","3,416,689,920"
14-5-2015,236.21,237.8,234.06,236.93,"24,413,700","3,344,280,064"
15-5-2015,236.96,238.75,236.79,237.6,"16,329,400","3,355,680,000"
16-5-2015,237.64,237.7,235.29,236.15,"11,089,700","3,366,299,904"
17-5-2015,236.01,238.02,236.01,236.8,"11,134,300","3,343,940,096"
18-5-2015,236.89,237.21,232.46,233.13,"16,780,300","3,357,380,096"
19-5-2015,233.04,234.15,231.82,231.95,"14,241,900","3,303,650,048"
20-5-2015,231.89,234.68,231.84,234.02,"15,499,400","3,288,140,032"
21-5-2015,234.02,236.24,233.84,235.34,"15,108,900","3,319,140,096"
22-5-2015,235.32,240.97,235.06,240.35,"27,003,000","3,338,560,000"
23-5-2015,240.29,241.02,238.69,238.87,"14,605,000","3,409,829,888"
24-5-2015,238.98,241.98,238.81,240.95,"11,508,000","3,391,909,888"
25-5-2015,240.93,241.02,236.64,237.11,"14,423,900","3,420,480,000"
26-5-2015,237.1,238.24,235.69,237.12,"16,425,000","3,367,040,000"
27-5-2015,237.07,238.64,236.7,237.28,"18,837,000","3,367,340,032"
28-5-2015,237.26,237.82,236.65,237.41,"13,829,600","3,370,889,984"
29-5-2015,237.38,237.52,235.73,237.1,"14,805,000","3,373,380,096"
30-5-2015,237.09,237.09,232.05,233.35,"14,098,600","3,370,240,000"
31-5-2015,233.13,233.25,229.54,230.19,"14,730,800","3,314,779,904"
1-6-2015,230.23,231.71,221.3,222.93,"26,090,500","3,274,370,048"
